solar_radiation_min,country
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
3480.0,France
3480.0,France
11340.0,France
11340.0,France
13140.0,France
13140.0,France
10380.0,France
10380.0,France
11160.0,France
11160.0,France
16260.0,France
16260.0,France
18900.0,France
18900.0,France
17280.0,France
17280.0,France
13980.0,France
13980.0,France
6900.0,France
6900.0,France
4680.0,France
4680.0,France
5340.0,France
5340.0,France
5700.0,France
5700.0,France
8700.0,France
8700.0,France
11520.0,France
11520.0,France
13260.0,France
13260.0,France
16620.0,France
16620.0,France
12120.0,France
18360.0,France
13320.0,France
13200.0,France
4740.0,France
4740.0,France
8700.0,France
8700.0,France
3660.0,France
3660.0,France
3300.0,France
3300.0,France
7080.0,France
7080.0,France
11280.0,France
11280.0,France
13140.0,France
13140.0,France
12360.0,France
12360.0,France
13860.0,France
13860.0,France
11580.0,France
11580.0,France
12480.0,France
12480.0,France
11100.0,France
11100.0,France
10800.0,France
10800.0,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
,France
