solar_radiation_min,country
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
9840.0,Italy
9840.0,Italy
9000.0,Italy
9000.0,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
24300.0,Italy
24300.0,Italy
,Italy
,Italy
,Italy
,Italy
15960.0,Italy
15960.0,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
13560.0,Italy
13560.0,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
15540.0,Italy
15540.0,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
9180.0,Italy
9180.0,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
,Italy
