date,tavg,tmin,tmax,prcp,wspd,pres,tsun
2016-01-01 00:00:00,6.4,2.7,10.8,54.9,12.7,1017.3,
2016-02-01 00:00:00,6.4,2.3,10.8,26.0,,1015.7,
2016-03-01 00:00:00,6.7,2.9,12.4,14.2,,,
2016-04-01 00:00:00,9.7,4.2,15.5,101.8,,1014.0,
2016-05-01 00:00:00,13.3,7.1,19.4,83.3,7.4,1014.3,
2016-06-01 00:00:00,16.3,11.7,20.9,91.8,5.8,1016.4,
2016-07-01 00:00:00,20.6,14.5,27.6,21.4,9.5,1019.4,
2016-08-01 00:00:00,21.4,15.1,26.9,25.3,9.2,1020.0,
2016-09-01 00:00:00,18.6,13.0,25.3,36.1,,1018.9,
2016-10-01 00:00:00,8.9,3.1,15.3,60.5,5.3,1019.9,
2016-11-01 00:00:00,7.9,3.4,12.1,71.2,,1016.5,
2016-12-01 00:00:00,3.0,-2.1,10.5,15.5,5.2,1030.2,
2017-01-01 00:00:00,0.8,-2.8,4.9,24.9,,1025.0,
2017-02-01 00:00:00,7.6,3.0,13.3,72.6,12.0,1018.5,
2017-03-01 00:00:00,10.1,4.4,16.1,61.3,,,
2017-04-01 00:00:00,10.1,4.0,17.0,36.6,9.0,1021.0,
2017-05-01 00:00:00,14.9,8.3,21.9,116.3,8.9,1016.7,
2017-06-01 00:00:00,20.4,14.0,27.2,78.4,,1015.5,
2017-07-01 00:00:00,21.1,14.7,27.3,21.4,8.9,1016.5,
2017-08-01 00:00:00,20.9,13.3,28.5,63.1,,1017.5,
2017-09-01 00:00:00,15.3,10.3,21.2,30.6,,1018.0,
2017-10-01 00:00:00,12.1,6.4,18.3,14.1,5.4,1023.3,
2017-11-01 00:00:00,5.6,0.7,10.8,40.3,6.3,1020.7,
2017-12-01 00:00:00,4.7,1.4,8.1,49.9,12.0,,
2018-01-01 00:00:00,8.2,4.9,11.9,55.7,12.7,1018.6,
2018-02-01 00:00:00,1.6,-1.8,5.3,31.4,9.0,1015.9,
2018-03-01 00:00:00,8.0,3.3,13.3,43.6,,,
2018-04-01 00:00:00,13.5,8.7,19.8,32.7,,,
2018-05-01 00:00:00,15.1,9.7,21.1,80.5,7.8,1015.2,
2018-06-01 00:00:00,19.2,13.4,25.0,82.7,,1016.4,
2018-07-01 00:00:00,22.1,15.5,28.9,85.1,7.4,1015.4,
2018-08-01 00:00:00,19.8,12.4,27.1,28.2,5.8,1017.9,
2018-09-01 00:00:00,18.3,11.7,26.6,,8.1,1020.8,
2018-10-01 00:00:00,13.0,7.8,19.3,,11.1,1017.2,
2018-11-01 00:00:00,7.6,3.0,12.7,38.2,6.7,1014.7,
2018-12-01 00:00:00,6.0,2.7,9.4,18.8,8.5,1023.9,
2019-01-01 00:00:00,3.0,0.3,6.0,18.0,10.3,1020.5,3480.0
2019-02-01 00:00:00,5.7,-0.7,13.5,9.0,6.9,1024.3,11340.0
2019-03-01 00:00:00,9.4,3.7,15.7,11.0,,1022.5,13140.0
2019-04-01 00:00:00,10.7,4.8,16.9,46.0,12.3,1013.2,10380.0
2019-05-01 00:00:00,13.1,7.7,18.6,31.0,12.0,1016.3,11160.0
2019-06-01 00:00:00,20.5,13.3,27.7,63.0,10.2,1015.0,16260.0
2019-07-01 00:00:00,23.2,16.5,30.3,69.0,8.8,1014.7,18900.0
2019-08-01 00:00:00,19.3,11.2,27.5,33.0,5.9,1017.2,17280.0
2019-09-01 00:00:00,17.8,11.3,24.7,22.0,9.7,1019.4,13980.0
2019-10-01 00:00:00,14.6,10.7,19.4,85.0,12.0,1015.9,6900.0
